ProjectID,RequirementText,_class_,TrueLabel,Cognitive Verifier,Context Manager,Persona,Question Refinement,Template
8,'Only administrators can activate a pre-paid card.',SE,NF,F,F,F,F,F
20,'Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.',SE,NF,F,F,F,F,F
30,'Authenticate and Login user to the web app.',F,F,F,F,F,F,NF
46,'The system shall display detailed product categorization to the user.',F,F,F,F,F,F,F
46,'The system shall allow user to select the order from the order history.',F,F,F,F,F,F,F
4,'The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.',F,F,F,F,F,F,F
9,'Vendor will submit a credit validation record to be applied to the enterprise billing system.',F,F,F,F,F,F,F
35,'Everyone (stakeholders and guests) can have access to the system and the catalogue. Every client must have secure and private access to his/her data. The  and the service man can have access to every part of the system. All these accesses (except the “guest tour” access) require identification through ID and password.',SE,NF,F,F,F,F,NF
1,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US,NF,NF,NF,NF,NF,NF
10,'When a game is ended  the product shall notify the players that the game is ended.',F,F,F,F,F,F,F
34,'Sensitive data will be encrypted before being sent over insecure connections like the internet.',SE,NF,NF,F,NF,F,F
3,'system shall be able to handle all of the user requests/usage during business hours.',SC,NF,NF,NF,NF,NF,F
8,'All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.',F,F,F,F,F,F,F
6,'The product must be developed with the J2SE/J2EE programming language libraries',O,NF,NF,NF,NF,NF,F
3,'The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.',F,F,F,F,F,F,F
38,'Consult with the Administrator about the payment details of the customers for the updating of the database.',F,F,F,F,F,F,NF
4,'The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.',O,NF,F,F,F,F,F
46,'The system shall allow user to add/remove products in the shopping cart.',F,F,F,F,F,F,F
14,'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.',US,NF,NF,NF,F,NF,F
46,'The system shall display tentative duration for shipping.',F,F,F,F,F,F,F
10,'If the shot was marked as a hit  the product shall allow the offensive player to define a shot.',F,F,F,F,F,F,NF
3,'Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name  and required classes for that Program of Study.',F,F,F,F,F,F,F
10,'The product shall allow a player to end a game at any time during the game.',F,F,F,F,F,F,F
45,'The system shall allow the mediator to negotiate a meeting date.',F,F,F,F,F,F,F
15,'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space:  400MB.',O,NF,NF,NF,F,NF,F
46,'The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.',PE,NF,NF,NF,NF,NF,NF
46,'The system’s back-end databases shall be encrypted.',SE,NF,NF,NF,NF,NF,F
5,'The adjuster shall review the collision estimate.',F,F,F,F,F,F,F
25,'The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.',LF,NF,F,F,F,F,F
34,'The system must automatically log out all customers after a period of inactivity.',SE,NF,F,F,F,F,F
10,'When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.',F,F,F,F,F,F,F
14,'A primary database will be used to store cached data for active users.',O,NF,F,F,F,F,NF
48,'The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.',MN,NF,NF,NF,NF,NF,NF
6,'The product shall be able to send meeting notifications via different kinds of end-user specified methods.',F,F,F,F,F,F,F
8,'Website shall allow customers to add their own movie review for a selected movie.',F,F,F,F,F,F,F
48,'It should not take more than 120 seconds for a new user to register for an account.',US,NF,NF,NF,F,NF,F
38,'System will use secured database',SE,NF,NF,NF,NF,NF,NF
8,'When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.',PE,NF,NF,NF,NF,NF,F
12,'The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.',MN,NF,NF,NF,NF,NF,F
6,'The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.',US,NF,NF,NF,F,NF,F
20,'The system shall permit only cafeteria staff members who are on the list of authorized Menu Managers to create or edit menus.',F,F,F,F,F,F,F
5,'The appearance of the product shall appear professional',LF,NF,NF,NF,NF,NF,NF
9,'The vendor will verify the invalid lead.',F,F,F,F,F,F,NF
45,'The system shall allow the mediator to send and receive messages from users.',F,F,F,F,F,F,F
6,'The product shall be used in office environments.',O,NF,NF,NF,NF,NF,NF
3,'A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.',F,F,F,F,F,F,F
3,'We must be able to interface with any HTML browser.',O,NF,F,F,F,F,F
45,'The system shall allow the initiator to send and receive messages from users.',F,F,F,F,F,F,F
6,'The product shall record all the equipment that has been reserved.',F,F,F,F,F,F,F
46,'The system shall display the FAQ’s upon request.',F,F,F,F,F,F,F
